Round,paddle_right,paddle_left,paddle_lower,paddle_upper
1,46,4,29,25
100,24,6,26,19
200,23,49,30,35
300,18,39,18,31
400,34,65,60,63
500,19,45,22,30
600,33,42,29,41
700,20,25,26,27
800,5,18,18,53
900,21,31,20,25
1000,20,31,15,31
1100,29,19,26,8
1200,14,20,30,28
1300,30,34,49,34
1400,24,47,20,39
1500,28,21,15,17
1600,28,26,34,16
1700,29,29,22,22
1800,34,27,31,30
1900,34,29,32,27
2000,14,46,32,24
