Round,hit_first_0,hit_second_0,rwd_first_0,rwd_second_0,first_0_wins,second_0_wins
1,32,36,-15.0,12.0,1,4
500,2,7,-95.0,89.0,0,5
1000,6,10,-62.0,57.0,1,4
1500,50,53,-3.0,2.0,2,3
2000,75,75,66.0,-61.0,5,0
2500,58,59,35.0,-32.0,4,1
3000,69,88,15.0,-12.0,4,1
3500,53,58,-40.0,35.0,0,5
4000,68,67,9.0,-7.0,4,1
4500,58,63,-51.0,45.0,0,5
5000,63,66,-11.0,10.0,2,3
